주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,제품 코드,제품 대분류,제품 중분류,제품명,관리자,반품?,매출,수량,할인율,수익
IN-2024-32091,7/11/24,7/15/24,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,FUR-FU-10000666,가구,가구류,"Rubbermaid Frame, Black",Marco,Yes,224175.6,2,0,60526.8
IN-2024-32091,7/11/24,7/15/24,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,OFF-ST-10001824,사무용품,수납용품,"Rogers Box, Single Width",Marco,Yes,73440,3,0,4406.4
IN-2024-29753,11/13/24,11/19/24,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,OFF-LA-10003778,사무용품,라벨,"Novimex File Folder Labels, Alphabetical",Simon,,32925.6,4,0,8445.6
IN-2024-29753,11/13/24,11/19/24,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,TEC-AC-10001278,사무기기,악세사리,"Enermax Flash Drive, USB",Simon,,127693.8,3,0,30569.4
IN-2024-29753,11/13/24,11/19/24,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,OFF-ST-10000704,사무용품,수납용품,"Rogers File Cart, Blue",Simon,,573933.6,4,0,212241.6
IN-2024-55513,12/9/24,12/13/24,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,OFF-ST-10003810,사무용품,수납용품,"Tenex Box, Single Width",Kai,,118024.2,7,0,41126.4
IN-2024-55513,12/9/24,12/13/24,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,OFF-EN-10000114,사무용품,봉투,"Kraft Clasp Envelope, Security-Tint",Kai,,46512,4,0,856.8
IN-2024-76674,9/14/24,9/20/24,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,OFF-AR-10001405,사무용품,필기구,"Binney & Smith Highlighters, Fluorescent",Kai,,54621,3,0,7068.6
IN-2024-76674,9/14/24,9/20/24,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,FUR-CH-10002188,가구,의자,"SAFCO Steel Folding Chair, Set of Two",Kai,,358876.8,4,0,150674.4
IN-2024-47463,2/28/24,3/5/24,표준 배송,ZC-21910,이유영,소비자,부산진구,부산광역시,대한민국,OFF-BI-10002424,사무용품,바인더,"Avery Binder, Economy",Kai,,15789.6,2,0.4,244.8
ID-2024-17657,6/25/24,6/30/24,표준 배송,FC-14245,유옥자,홈 오피스,옥천군,충청북도,대한민국,OFF-PA-10004260,사무용품,종이,"Xerox Memo Slips, Recycled",Luke,,29062.656,4,0.47,-5576.544
IN-2024-60476,11/3/24,11/7/24,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-FA-10001187,사무용품,파스너,"Stockwell Paper Clips, Bulk Pack",Luke,Yes,27784.8,2,0,9424.8
IN-2024-60476,11/3/24,11/7/24,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-FA-10001045,사무용품,파스너,"Stockwell Staples, 12 Pack",Luke,Yes,50184,5,0,3978
IN-2024-60476,11/3/24,11/7/24,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-EN-10003000,사무용품,봉투,"Cameo Mailers, Recycled",Luke,Yes,188496,5,0,75276
IN-2024-60476,11/3/24,11/7/24,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-BI-10001904,사무용품,바인더,"Cardinal Binder Covers, Durable",Luke,Yes,27540,2,0,13464
IN-2024-60476,11/3/24,11/7/24,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-AR-10002727,사무용품,필기구,"Stanley Pencil Sharpener, Fluorescent",Luke,Yes,50551.2,2,0,14137.2
IN-2024-57410,10/17/24,10/23/24,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,OFF-BI-10004334,사무용품,바인더,"Avery Hole Reinforcements, Durable",Simon,,12056.4,2,0,2019.6
IN-2024-57410,10/17/24,10/23/24,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,OFF-ST-10001026,사무용품,수납용품,"Fellowes Trays, Single Width",Simon,,292842,5,0,131733
IN-2024-57410,10/17/24,10/23/24,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,OFF-EN-10003838,사무용품,봉투,"Cameo Peel and Seal, with clear poly window",Simon,,25030.8,1,0,7252.2
IN-2024-13597,11/3/24,11/7/24,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,OFF-LA-10002088,사무용품,라벨,"Novimex Round Labels, Laser Printer Compatible",Luke,,6395.4,1,0,2998.8
IN-2024-13597,11/3/24,11/7/24,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,FUR-TA-10002256,가구,탁자,"Hon Wood Table, Fully Assembled",Luke,,2717280,5,0,923814
IN-2024-25161,7/14/24,7/20/24,표준 배송,MS-17710,한정호,소비자,음성군,충청북도,대한민국,OFF-SU-10001686,사무용품,일반 사무용품,"Kleencut Trimmer, Easy Grip",Luke,,118559.7,3,0.1,10511.1
IN-2024-16887,5/5/24,5/7/24,빠른 배송,CC-12475,노재성,소비자,수성구,대구광역시,대한민국,TEC-CO-10002040,사무기기,복사기,"Brother Fax Machine, Digital",Kai,,1298174.4,4,0,545169.6
IN-2024-53427,5/9/24,5/15/24,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,OFF-BI-10002907,사무용품,바인더,"Wilson Jones 3-Hole Punch, Economy",Kai,,57099.6,2,0,7956
IN-2024-53427,5/9/24,5/15/24,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,OFF-AP-10002371,사무용품,가전,"KitchenAid Blender, Silver",Kai,,100827,1,0,43329.6
IN-2024-53427,5/9/24,5/15/24,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,FUR-TA-10004711,가구,탁자,"Lesro Conference Table, Adjustable Height",Kai,,4384827,5,0,306918
IN-2024-53427,5/9/24,5/15/24,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,OFF-PA-10004124,사무용품,종이,"SanDisk Message Books, 8.5 x 11",Kai,,114076.8,4,0,3304.8
IN-2024-63591,12/13/24,12/18/24,표준 배송,ZD-21925,강현석,소비자,고양시,경기도,대한민국,FUR-TA-10003576,가구,탁자,"Hon Coffee Table, Adjustable Height",Simon,,454232.52,2,0.3,64878.12
IN-2024-76058,3/13/24,3/15/24,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-PA-10000382,사무용품,종이,"SanDisk Computer Printout Paper, Multicolor",Simon,,63648,2,0,26071.2
IN-2024-76058,3/13/24,3/15/24,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-AR-10001773,사무용품,필기구,"Sanford Markers, Water Color",Simon,,53917.2,2,0,11811.6
IN-2024-76058,3/13/24,3/15/24,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-FA-10003604,사무용품,파스너,"Stockwell Paper Clips, Assorted Sizes",Simon,,46267.2,4,0,6364.8
IN-2024-76058,3/13/24,3/15/24,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,FUR-CH-10004694,가구,의자,"Office Star Rocking Chair, Black",Simon,,988747.2,7,0,355786.2
IN-2024-76058,3/13/24,3/15/24,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-PA-10000302,사무용품,종이,"Eaton Computer Printout Paper, Multicolor",Simon,,85557.6,3,0,31579.2
IN-2024-76058,3/13/24,3/15/24,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-EN-10003601,사무용품,봉투,"GlobeWeis Clasp Envelope, Set of 50",Simon,,50490,5,0,0
IN-2024-76058,3/13/24,3/15/24,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,FUR-FU-10000496,가구,가구류,"Eldon Clock, Duo Pack",Simon,,115423.2,2,0,54223.2
IN-2024-17489,12/22/24,12/26/24,표준 배송,DF-13135,문익현,소비자,부평구,인천광역시,대한민국,OFF-BI-10004651,사무용품,바인더,"Cardinal Binding Machine, Clear",Simon,,166712.472,4,0.17,58143.672
IN-2024-17489,12/22/24,12/26/24,표준 배송,DF-13135,문익현,소비자,부평구,인천광역시,대한민국,OFF-AR-10000539,사무용품,필기구,"Boston Markers, Easy-Erase",Simon,,59508.432,3,0.27,-16318.368
IN-2024-46343,9/23/24,9/27/24,표준 배송,JW-15220,현유희,기업 고객,의령군,경상남도,대한민국,OFF-LA-10003396,사무용품,라벨,"Avery Color Coded Labels, Laser Printer Compatible",Kai,,67779,5,0,14841
IN-2024-46343,9/23/24,9/27/24,표준 배송,JW-15220,현유희,기업 고객,의령군,경상남도,대한민국,OFF-ST-10004325,사무용품,수납용품,"Eldon Box, Single Width",Kai,,52479,5,0,20961
IN-2024-30817,5/8/24,5/12/24,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,OFF-SU-10004177,사무용품,일반 사무용품,"Fiskars Box Cutter, Easy Grip",Luke,,151531.2,4,0,33292.8
IN-2024-30817,5/8/24,5/12/24,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,OFF-AR-10001228,사무용품,필기구,"Binney & Smith Pens, Easy-Erase",Luke,,37362.6,3,0,13035.6
IN-2024-30817,5/8/24,5/12/24,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,FUR-CH-10002213,가구,의자,"Hon Executive Leather Armchair, Black",Luke,,1398848.4,3,0,139811.4
IN-2024-66853,5/19/24,5/24/24,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,OFF-FA-10000027,사무용품,파스너,"Stockwell Rubber Bands, Bulk Pack",Simon,,29633.04,2,0.1,12497.04
IN-2024-66853,5/19/24,5/24/24,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,FUR-BO-10002819,가구,책장,"Ikea Stackable Bookrack, Traditional",Simon,,225056.88,2,0.1,47454.48
IN-2024-66853,5/19/24,5/24/24,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,OFF-SU-10004306,사무용품,일반 사무용품,"Kleencut Trimmer, Steel",Simon,,187409.7,5,0.1,-12561.3
ID-2024-74462,12/23/24,12/25/24,빠른 배송,MC-17845,우하민,소비자,목포시,전라남도,대한민국,TEC-AC-10000857,사무기기,악세사리,"Belkin Router, Programmable",Edwin,,438000.75,3,0.45,-175223.25
ID-2024-74462,12/23/24,12/25/24,빠른 배송,MC-17845,우하민,소비자,목포시,전라남도,대한민국,OFF-AR-10000681,사무용품,필기구,"Binney & Smith Sketch Pad, Water Color",Edwin,,27769.5,1,0.45,-15651.9
ID-2024-13940,10/7/24,10/12/24,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,FUR-CH-10003354,가구,의자,"Novimex Bag Chairs, Black",Simon,,199802.7,5,0.1,-20058.3
ID-2024-13940,10/7/24,10/12/24,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,OFF-ST-10000542,사무용품,수납용품,"Fellowes Folders, Industrial",Simon,,49351.68,2,0.1,2717.28
ID-2024-13940,10/7/24,10/12/24,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,FUR-BO-10002682,가구,책장,"Safco Stackable Bookrack, Mobile",Simon,,410290.92,3,0.1,9033.12
ID-2024-13940,10/7/24,10/12/24,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,OFF-BI-10002243,사무용품,바인더,"Wilson Jones 3-Hole Punch, Durable",Simon,,54143.64,2,0.1,19810.44
ID-2024-13940,10/7/24,10/12/24,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,FUR-FU-10002659,가구,가구류,"Eldon Clock, Black",Simon,,466968.24,9,0.1,124370.64
IN-2024-25063,6/16/24,6/21/24,표준 배송,MD-17860,황상철,기업 고객,과천시,경기도,대한민국,TEC-CO-10003354,사무기기,복사기,"Brother Fax Machine, Laser",Simon,,2339357.76,8,0.1,519759.36
IN-2024-64235,6/21/24,6/27/24,표준 배송,FM-14290,유경호,홈 오피스,장흥군,전라남도,대한민국,OFF-SU-10004236,사무용품,일반 사무용품,"Stiletto Letter Opener, Steel",Edwin,,138140.64,6,0.1,35141.04
IN-2024-76450,11/17/24,11/21/24,표준 배송,PJ-19015,임은수,소비자,서귀포시,제주특별자치도,대한민국,OFF-BI-10004666,사무용품,바인더,"Wilson Jones Binding Machine, Durable",Edwin,,128158.308,3,0.17,43151.508
IN-2024-76450,11/17/24,11/21/24,표준 배송,PJ-19015,임은수,소비자,서귀포시,제주특별자치도,대한민국,OFF-ST-10003203,사무용품,수납용품,"Eldon Lockers, Wire Frame",Edwin,,500289.804,3,0.17,156682.404
IN-2024-20226,6/14/24,6/16/24,특급 배송,PB-19105,최정희,소비자,동구,대구광역시,대한민국,OFF-BI-10001312,사무용품,바인더,"Cardinal 3-Hole Punch, Clear",Kai,,86475.6,3,0,36261
IN-2024-20226,6/14/24,6/16/24,특급 배송,PB-19105,최정희,소비자,동구,대구광역시,대한민국,OFF-LA-10002364,사무용품,라벨,"Smead Shipping Labels, Alphabetical",Kai,,163220.4,14,0,47124
IN-2024-74224,6/4/24,6/10/24,표준 배송,CM-12115,문유린,소비자,영등포구,서울특별시,대한민국,OFF-SU-10001535,사무용품,일반 사무용품,"Elite Box Cutter, High Speed",Simon,,213526.8,6,0,34149.6
IN-2024-20702,12/8/24,12/13/24,표준 배송,DK-12985,장규보,소비자,은평구,서울특별시,대한민국,OFF-ST-10003547,사무용품,수납용품,"Smead Shelving, Blue",Simon,,165696.552,4,0.17,53822.952
IN-2024-20702,12/8/24,12/13/24,표준 배송,DK-12985,장규보,소비자,은평구,서울특별시,대한민국,FUR-FU-10001130,가구,가구류,"Rubbermaid Stacking Tray, Erganomic",Simon,,82538.91,5,0.27,-81.09
IN-2024-53252,5/29/24,6/3/24,표준 배송,GH-14665,노수정,소비자,인제군,강원도,대한민국,TEC-AC-10000221,사무기기,악세사리,"Belkin Memory Card, Programmable",Marco,,593181,5,0,124542
IN-2024-59363,10/9/24,10/11/24,빠른 배송,TB-21595,백인수,소비자,안산시,경기도,대한민국,FUR-BO-10001753,가구,책장,"Dania Stackable Bookrack, Traditional",Simon,,308677.5,5,0.5,-37102.5
ID-2024-53679,10/29/24,11/5/24,표준 배송,PP-18955,권동탁,홈 오피스,구리시,경기도,대한민국,OFF-BI-10003012,사무용품,바인더,"Wilson Jones Hole Reinforcements, Economy",Simon,,5544.72,2,0.4,220.32
ID-2024-53679,10/29/24,11/5/24,표준 배송,PP-18955,권동탁,홈 오피스,구리시,경기도,대한민국,TEC-PH-10004618,사무기기,전화기,"Motorola Speaker Phone, VoIP",Simon,,715323.96,9,0.4,-262346.04
ID-2024-65173,11/27/24,12/2/24,표준 배송,CS-12355,홍진영,소비자,인제군,강원도,대한민국,OFF-LA-10000506,사무용품,라벨,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",Marco,,11839.14,2,0.47,-4072.86
IN-2024-39735,3/17/24,3/22/24,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,OFF-AP-10000043,사무용품,가전,"Cuisinart Toaster, Silver",Kai,,199059.12,4,0.1,66255.12
IN-2024-39735,3/17/24,3/22/24,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,TEC-CO-10003777,사무기기,복사기,"Hewlett Copy Machine, Color",Kai,,3365553.24,14,0.1,373607.64
IN-2024-39735,3/17/24,3/22/24,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,OFF-BI-10000373,사무용품,바인더,"Ibico Hole Reinforcements, Economy",Kai,,38500.92,6,0.1,679.32
ID-2024-61169,12/12/24,12/16/24,표준 배송,EB-13930,고영아,소비자,동구,인천광역시,대한민국,OFF-EN-10002700,사무용품,봉투,"Kraft Interoffice Envelope, with clear poly window",Simon,,81836.028,3,0.47,-18593.172
IN-2024-66965,4/16/24,4/21/24,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,OFF-SU-10003897,사무용품,일반 사무용품,"Stiletto Ruler, High Speed",Marco,,95618.88,7,0.1,14865.48
IN-2024-66965,4/16/24,4/21/24,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,TEC-MA-10001261,사무기기,전산기기,"Konica Printer, Wireless",Marco,,1721139.84,7,0.1,688267.44
IN-2024-66965,4/16/24,4/21/24,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,OFF-AP-10001503,사무용품,가전,"KitchenAid Microwave, Black",Marco,,1421752.5,5,0.1,584383.5
IN-2024-66965,4/16/24,4/21/24,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,TEC-CO-10002674,사무기기,복사기,"Sharp Fax and Copier, High-Speed",Marco,,765612,5,0.1,-34119
IN-2024-79698,9/2/24,9/6/24,표준 배송,EH-13945,임문도,소비자,창녕군,경상남도,대한민국,TEC-AC-10003407,사무기기,악세사리,"Memorex Mouse, Erganomic",Kai,,158997.6,6,0,22215.6
IN-2024-56241,11/11/24,11/15/24,표준 배송,HZ-14950,송보민,소비자,영월군,강원도,대한민국,TEC-PH-10001921,사무기기,전화기,"Nokia Signal Booster, with Caller ID",Marco,,139230,1,0,15300
IN-2024-78438,8/25/24,8/25/24,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,OFF-EN-10003540,사무용품,봉투,"Cameo Mailers, Set of 50",Simon,,64612.512,2,0.17,17121.312
IN-2024-78438,8/25/24,8/25/24,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,OFF-AR-10002109,사무용품,필기구,"Binney & Smith Sketch Pad, Fluorescent",Simon,,80562.456,2,0.17,10672.056
IN-2024-78438,8/25/24,8/25/24,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,TEC-PH-10003075,사무기기,전화기,"Samsung Signal Booster, Full Size",Simon,,466916.832,4,0.17,-84495.168
IN-2024-57837,9/19/24,9/21/24,빠른 배송,CS-12130,허상재,소비자,신안군,전라남도,대한민국,FUR-BO-10001212,가구,책장,"Safco Classic Bookcase, Mobile",Edwin,,1618140.24,4,0.1,17882.64
IN-2024-10475,7/11/24,7/14/24,빠른 배송,TH-21100,전병만,소비자,광산구,광주광역시,대한민국,OFF-LA-10000707,사무용품,라벨,"Avery Removable Labels, Adjustable",Edwin,,44064,5,0,1224
IN-2024-36795,12/27/24,12/29/24,특급 배송,CV-12805,유희라,기업 고객,포천시,경기도,대한민국,OFF-PA-10000776,사무용품,종이,"Xerox Cards & Envelopes, Premium",Simon,,183477.6,4,0,86169.6
ID-2024-13135,6/19/24,6/25/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-LA-10001548,사무용품,라벨,"Avery Shipping Labels, Adjustable",Simon,,21083.4,4,0.47,-9149.4
IN-2024-45174,11/14/24,11/18/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-SU-10004008,사무용품,일반 사무용품,"Kleencut Letter Opener, Steel",Simon,,72705.6,3,0,36352.8
IN-2024-45174,11/14/24,11/18/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",Simon,,856953,5,0,102816
IN-2024-45174,11/14/24,11/18/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-ST-10004830,사무용품,수납용품,"Eldon Lockers, Blue",Simon,,605604.6,3,0,12025.8
IN-2024-45174,11/14/24,11/18/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",Simon,,171390.6,1,0,20563.2
IN-2024-45174,11/14/24,11/18/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,TEC-MA-10004421,사무기기,전산기기,"Konica Inkjet, Wireless",Simon,,2238818.4,7,0,1052150.4
IN-2024-45174,11/14/24,11/18/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-EN-10001789,사무용품,봉투,"Kraft Peel and Seal, Set of 50",Simon,,104499,5,0,8262
IN-2024-45174,11/14/24,11/18/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,FUR-BO-10002736,가구,책장,"Sauder Stackable Bookrack, Mobile",Simon,,1198051.2,8,0,191678.4
IN-2024-45174,11/14/24,11/18/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,TEC-CO-10000794,사무기기,복사기,"Hewlett Wireless Fax, High-Speed",Simon,,385957.8,1,0,154377
IN-2024-45174,11/14/24,11/18/24,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-LA-10004756,사무용품,라벨,"Avery Removable Labels, Laser Printer Compatible",Simon,,32864.4,3,0,13402.8
IN-2024-21990,12/4/24,12/6/24,특급 배송,SM-20320,정하은,홈 오피스,보령시,충청남도,대한민국,FUR-CH-10004580,가구,의자,"Office Star Bag Chairs, Adjustable",Luke,,59088.6,1,0,18298.8
ID-2024-58418,12/31/24,1/2/25,특급 배송,JA-15970,차경철,소비자,금정구,부산광역시,대한민국,OFF-AR-10002389,사무용품,필기구,"Binney & Smith Pens, Fluorescent",Kai,,40392,3,0,6793.2
IN-2024-23383,6/24/24,6/26/24,빠른 배송,EM-14065,한민,소비자,속초시,강원도,대한민국,OFF-EN-10001976,사무용품,봉투,"Jiffy Interoffice Envelope, Security-Tint",Marco,,149450.4,3,0,41769
IN-2024-61932,4/17/24,4/17/24,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,OFF-ST-10000351,사무용품,수납용품,"Smead Shelving, Wire Frame",Luke,Yes,195840,4,0,1958.4
IN-2024-61932,4/17/24,4/17/24,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,TEC-PH-10001457,사무기기,전화기,"Apple Smart Phone, Full Size",Luke,Yes,1300500,2,0,143024.4
IN-2024-61932,4/17/24,4/17/24,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,FUR-FU-10004820,가구,가구류,"Advantus Photo Frame, Erganomic",Luke,Yes,105264,2,0,45226.8
IN-2024-78725,10/2/24,10/6/24,표준 배송,NF-18385,강진원,소비자,세종특별자치시,세종특별자치시,대한민국,TEC-PH-10001670,사무기기,전화기,"Motorola Smart Phone, Full Size",Luke,,2627438.4,4,0,998416.8
IN-2024-54211,1/17/24,1/21/24,표준 배송,KB-16315,길연지,소비자,서구,인천광역시,대한민국,OFF-BI-10004869,사무용품,바인더,"Avery 3-Hole Punch, Recycled",Simon,,95598.072,4,0.17,35622.072
IN-2024-54211,1/17/24,1/21/24,표준 배송,KB-16315,길연지,소비자,서구,인천광역시,대한민국,OFF-AR-10000762,사무용품,필기구,"BIC Pens, Water Color",Simon,,52002.864,4,0.27,-1485.936
IN-2024-78991,11/27/24,11/29/24,빠른 배송,JF-15355,권경문,소비자,진도군,전라남도,대한민국,OFF-BI-10003340,사무용품,바인더,"Acco Index Tab, Durable",Edwin,,27356.4,3,0,6242.4
IN-2024-59650,11/3/24,11/5/24,특급 배송,AW-10930,류혜령,홈 오피스,동해시,강원도,대한민국,OFF-BI-10002853,사무용품,바인더,"Avery Binder Covers, Recycled",Marco,,23317.2,2,0,10954.8
ID-2024-37768,3/22/24,3/24/24,특급 배송,SG-20890,민효신,기업 고객,중구,울산광역시,대한민국,TEC-PH-10002570,사무기기,전화기,"Samsung Headset, Full Size",Kai,,265929.3,7,0.5,-180891.9
